YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
1974,September,LA,125.807,134.53245844825804,16.925125
1975,September,LA,126.995625,130.4729985777069,16.5695
1976,September,LA,125.630375,135.64693251930515,17.041375
1977,September,EN,128.232875,127.55114474349888,16.35625
1978,September,N,129.218875,133.76818982520936,17.285375
1979,September,N,119.547375,134.01381669819182,16.021
1980,September,N,123.24187500000001,130.09985445287975,16.03375
1981,September,N,125.051,133.72444042830526,16.722375
1982,September,N,126.46724999999999,129.72034261834585,16.405375
1983,September,EN,125.375,125.76470588235294,15.76775
1984,September,N,126.8515,128.71645191424616,16.327875
1985,September,LA,121.2245,126.02753568791786,15.277625
1986,September,N,126.026875,124.53097801560183,15.69425
1987,September,EN,125.990625,119.38090631743434,15.040875
1988,September,EN,127.70125,124.1109621088282,15.849124999999999
1989,September,LA,128.751,125.40776382319359,16.146375
1990,September,N,128.87325,122.84841889220608,15.831875
1991,September,N,121.0085,123.59668948875492,14.95625
1992,September,EN,123.681375,129.32828406864007,15.9955
1993,September,N,125.26425,120.7647034169765,15.1275
1994,September,N,127.875,124.3998044965787,15.907625
1995,September,EN,132.47475,127.33086871271695,16.868125
1996,September,LA,129.729125,127.52726112968078,16.544
1997,September,N,132.796375,133.91461175050898,17.783375
1998,September,EN,127.435125,101.28683124060184,12.9075
1999,September,LA,124.614125,117.49972164070485,14.642125
2000,September,LA,123.319125,121.1744325951064,14.943125
2001,September,N,126.64775,113.69724294351853,14.3995
2002,September,N,126.15599999999999,112.18352674466534,14.152625
2003,September,EN,126.4225,121.25215052700271,15.329
2004,September,N,126.154875,121.04367746391092,15.27025
2005,September,N,124.707625,108.99794619615281,13.592875
2006,September,N,128.973375,124.96183805378435,16.11675
2007,September,EN,123.43662499999999,108.2124126449504,13.357375
2008,September,LA,131.255625,125.9317457823236,16.52925
2009,September,N,132.382375,125.5727962275945,16.623625
2010,September,EN,128.96925,110.31796339049814,14.227625
2011,September,LA,124.64025000000001,116.54341193956205,14.526
2012,September,LA,127.08612500000001,118.46395505410209,15.055125
2013,September,N,131.5125,117.58958273928336,15.464500000000001
2014,September,N,123.63025,115.83330131581874,14.3205
2015,September,EN,133.219875,122.83170960789445,16.363625
2016,September,EN,124.636625,89.59545398473362,11.166875
2017,September,N,128.374625,106.45308603627858,13.665875
2018,September,LA,133.21625,123.86533174443808,16.500875
2019,September,EN,130.291875,112.55114718396676,14.6645
1963,October,N,108.13925,133.39629228055492,14.425375
1964,October,N,116.3615,131.78757578752422,15.335
1965,October,EN,112.597125,128.88095499774084,14.511625
1966,October,EN,117.51050000000001,130.1415618178801,15.293000000000001
1967,October,N,114.284875,123.80137791636908,14.148625
1968,October,N,112.47387499999999,131.08710800619255,14.743875
1969,October,EN,114.90525,117.90040054740754,13.547375
1970,October,N,112.7675,123.4653158046423,13.922875
1971,October,LA,109.88725000000001,125.03042891691256,13.73925
1972,October,EN,113.989375,121.0737842891059,13.801125
1973,October,EN,117.79675,125.33983322969436,14.764625
1974,October,LA,114.176875,131.84149592463447,15.05325
1975,October,LA,114.714625,128.98093856820785,14.796
1976,October,LA,110.63225,132.004908152912,14.604
1977,October,EN,117.034625,126.27352802642807,14.778375
1978,October,N,120.648,132.3105231748558,15.963000000000001
1979,October,N,114.254375,131.43588593434606,15.017125
1980,October,N,116.46375,128.31138444365735,14.943625
1981,October,N,114.899875,132.2346956426193,15.19375
1982,October,N,119.1485,126.66231635312236,15.091625
1983,October,EN,119.66925,125.79568268373036,15.053875
1984,October,N,111.865625,123.88524178003743,13.8585
1985,October,LA,114.13725,124.55180057343243,14.216
1986,October,N,115.646,122.39831036092905,14.154875
1987,October,EN,115.91925,117.00170592891173,13.562750000000001
1988,October,N,114.394875,123.36872609022039,14.11275
1989,October,LA,114.3395,121.33711447050231,13.873625
1990,October,N,118.4145,117.97119440609046,13.9695
1991,October,N,114.149625,123.64801899261603,14.114374999999999
1992,October,EN,119.263,125.02934690557842,14.911375
1993,October,N,109.19725,117.04507210575358,12.781
1994,October,N,120.947875,123.82813670765195,14.97675
1995,October,EN,119.8355,126.05717838203203,15.106125
1996,October,LA,117.16550000000001,126.60403446407004,14.833625
1997,October,N,124.4425,132.6586576129538,16.508375
1998,October,EN,109.317375,99.60219041117664,10.88825
1999,October,LA,109.147375,114.1770473179039,12.462125
2000,October,LA,112.341875,118.0236665980517,13.259
2001,October,N,112.6815,110.97540412578817,12.504875
2002,October,N,115.68875,110.10253806009659,12.737625
2003,October,N,118.137625,120.38184278717301,14.221625
2004,October,N,115.88187500000001,120.18165049538591,13.926874999999999
2005,October,N,113.3105,104.95276254186504,11.89225
