YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
2015,September,EN,124.15899999999999,130.38623861339093,16.188625000000002
2016,September,EN,122.04875,123.89106811827241,15.12075
2017,September,N,123.478625,125.04998334732022,15.440999999999999
2018,September,LA,115.91525,129.38008588171098,14.997125
2019,September,EN,118.05375000000001,127.3127706659043,15.02975
1963,October,N,107.060875,131.14267934014177,14.04025
1964,October,N,109.2495,130.6516276962366,14.273625000000001
1965,October,EN,116.395875,128.82114593837625,14.99425
1966,October,EN,113.59275,128.12327371245087,14.553875000000001
1967,October,N,109.71625,128.5611748487576,14.10525
1968,October,N,107.224375,132.45588981050253,14.2025
1969,October,EN,115.85975,134.23557361378735,15.5525
1970,October,N,119.2385,132.74445753678552,15.82825
1971,October,LA,123.37049999999999,133.09300035259645,16.41975
1972,October,EN,117.734875,135.23393132238854,15.92175
1973,October,EN,112.222625,131.25472693229196,14.72975
1974,October,LA,117.579125,134.58171252762767,15.824
1975,October,LA,111.807,132.05680324129975,14.764875
1976,October,LA,118.32487499999999,129.90294728813365,15.370750000000001
1977,October,EN,122.02074999999999,128.39517049354313,15.666875000000001
1978,October,N,110.733625,128.7199348887928,14.253625
1979,October,N,114.3145,126.89225776257605,14.505625
1980,October,N,111.3705,132.90099263269894,14.80125
1981,October,N,110.048125,132.86914247743886,14.622
1982,October,N,117.159875,133.26021387441733,15.61275
1983,October,EN,110.8035,123.53964450581435,13.688625
1984,October,N,116.31425,129.20171002263265,15.028
1985,October,LA,111.509,133.6495260472249,14.903125
1986,October,N,123.54837500000001,133.50539818917085,16.494375
1987,October,EN,113.60075,127.01060512364575,14.4285
1988,October,N,109.008875,132.35160898596558,14.4275
1989,October,LA,123.382625,135.1790821438594,16.67875
1990,October,N,113.817875,123.70640376127211,14.08
1991,October,N,117.092125,131.21078808673087,15.36375
1992,October,EN,117.460625,131.29825420220607,15.422375
1993,October,N,116.568625,127.81741227538716,14.899500000000002
1994,October,N,119.91987499999999,126.97853462572407,15.22725
1995,October,EN,118.31475,130.45816350032433,15.435125
1996,October,LA,115.6575,130.32444934396818,15.073
1997,October,N,127.79362499999999,129.96735948291632,16.609
1998,October,EN,119.65375,127.08335509752096,15.206
1999,October,LA,119.506,132.75065687078472,15.8645
2000,October,LA,120.311125,123.12764093927306,14.813625
2001,October,N,125.98875000000001,127.55107102816719,16.07
2002,October,N,118.129625,121.642856311446,14.369625
2003,October,N,126.0335,132.585780764638,16.710250000000002
2004,October,N,118.29975,127.11565324525199,15.03775
2005,October,N,115.16012500000001,123.23601593867669,14.191875
2006,October,N,120.158625,126.34548705929349,15.1815
2007,October,N,112.02325,128.5882618117221,14.404874999999999
2008,October,LA,125.086375,133.26791187289584,16.67
2009,October,LA,117.93924999999999,128.31818075831416,15.13375
2010,October,EN,112.7765,133.6149375091442,15.068625
2011,October,LA,117.10662500000001,126.27914945034064,14.788124999999999
2012,October,LA,122.33625,127.29464896954092,15.57275
2013,October,N,122.79374999999999,131.92446683972108,16.1995
2014,October,N,127.29825,125.54080672750804,15.981125
2015,October,EN,128.68025,121.2229537943857,15.599
2016,October,EN,128.586375,132.2826776942736,17.00975
2017,October,N,127.01774999999999,124.17555814049611,15.772499999999999
2018,October,LA,116.84875,123.48655847837483,14.42925
2019,October,EN,119.002125,128.8758499060416,15.3365
1963,November,N,101.7745,128.15218939911273,13.042625
1964,November,LA,121.404875,131.99943577224556,16.025375
1965,November,EN,124.542625,125.57548068382211,15.6395
1966,November,EN,122.01425,125.77834146421422,15.34675
1967,November,N,111.40375,127.17816949608967,14.168125
1968,November,N,105.70775,125.26754187843369,13.24175
1969,November,EN,119.536875,128.3139616959202,15.33825
1970,November,N,131.92625,134.75616111274292,17.777875
1971,November,LA,130.992125,134.07103671308485,17.56225
1972,November,EN,127.041625,125.80719114699612,15.98275
1973,November,LA,120.141375,128.0855575358614,15.388375
1974,November,LA,123.205625,134.26030670271751,16.541625
1975,November,LA,123.323,127.54413207593069,15.729125
1976,November,LA,127.108375,128.50943142023488,16.334625
1977,November,EN,126.56299999999999,128.16937019508072,16.2215
1978,November,N,117.76650000000001,129.48185604564964,15.248625
1979,November,N,123.968625,124.30161260560888,15.4095
1980,November,N,120.55075000000001,129.1675912426924,15.57125
1981,November,N,109.843875,126.34181924117298,13.877875
1982,November,EN,126.93900000000001,123.15659489991255,15.633375000000001
1983,November,EN,117.864,125.04984558474173,14.738875
1984,November,N,119.727125,128.50889052919294,15.386
1985,November,LA,113.63925,127.90475121931902,14.535
1986,November,N,129.71337499999998,134.78081963405856,17.482875
1987,November,EN,118.559,125.53348965493974,14.883125
1988,November,LA,115.091875,130.0308992272478,14.9655
1989,November,LA,133.109375,136.15025237703955,18.122875
1990,November,N,121.67575,117.73812776991308,14.325875
1991,November,EN,121.32612499999999,126.81110519271922,15.3855
1992,November,EN,124.954125,122.56498134815477,15.315
1993,November,N,125.55912500000001,122.9500444511699,15.4375
1994,November,N,123.602,122.30384621608064,15.116999999999999
1995,November,EN,123.727875,124.34041237675827,15.384375
1996,November,N,125.025375,124.06081565442216,15.51075
1997,November,EN,130.32375,122.15636060196245,15.919875000000001
1998,November,EN,129.41675,130.2188472512252,16.8525
1999,November,LA,118.354375,132.9703697053869,15.737625
2000,November,LA,126.9615,119.66915167196355,15.193375
2001,November,N,133.7395,124.31162820258787,16.625375
2002,November,N,117.389625,125.05790013384915,14.6805
2003,November,N,129.696625,130.56334349486733,16.933625
2004,November,N,120.98825000000001,126.10418780336106,15.257125
2005,November,N,119.582875,123.5795677265662,14.778
2006,November,N,124.9045,128.1038713577173,16.00075
2007,November,LA,108.635125,127.0410928325438,13.801125
2008,November,LA,124.711375,127.83116215341222,15.942
2009,November,LA,126.855625,116.33599219585257,14.757875
2010,November,EN,125.49075,132.30258007064265,16.60275
2011,November,LA,127.89575,127.16704816227278,16.264125
2012,November,N,125.9375,123.7409429280397,15.583625
2013,November,N,130.8285,126.68493485746608,16.574
2014,November,N,131.706875,122.80869924216181,16.17475
2015,November,EN,131.42125000000001,116.0152943302548,15.246875
2016,November,EN,131.564625,127.06398091432251,16.717125
2017,November,N,129.17225,128.66443837588957,16.619875
2018,November,LA,123.235,120.36454740942102,14.833125
2019,November,EN,117.594,125.57400887800398,14.76675
1963,Entire Season,N,128.891375,116.30723933234476,14.991
1964,Entire Season,EN,139.67737499999998,122.14308151194854,17.060625
1965,Entire Season,LA,131.149875,131.90919930346863,17.299875
1966,Entire Season,EN,136.6235,118.35628570487508,16.17025
1967,Entire Season,N,138.6535,125.64504321924798,17.421125
1968,Entire Season,N,144.431,131.32395399879528,18.96725
1969,Entire Season,EN,125.749875,114.47426886110225,14.395125
1970,Entire Season,EN,138.05125,125.40723101022265,17.312625
1971,Entire Season,LA,140.232375,124.77860408482707,17.498
1972,Entire Season,LA,128.25375,123.7322495443603,15.869125
1973,Entire Season,EN,140.178375,117.23634262417438,16.434
1974,Entire Season,LA,133.805625,126.02796033425352,16.86325
1975,Entire Season,LA,131.973,121.35910375607129,16.016125
